Date,Close
2023-01-01,150.23
2023-01-02,151.35
2023-01-03,152.17
2023-01-04,150.50
2023-01-05,149.80
2023-01-06,150.12
2023-01-07,151.01
2023-01-08,152.40
2023-01-09,153.22
2023-01-10,154.18
2023-01-11,155.03
2023-01-12,154.89
2023-01-13,153.77
2023-01-14,152.65
2023-01-15,151.90
2023-01-16,152.20
2023-01-17,153.00
2023-01-18,153.55
2023-01-19,154.80
2023-01-20,155.50
2023-01-21,156.00
2023-01-22,156.70
2023-01-23,157.10
2023-01-24,157.60
2023-01-25,158.00
2023-01-26,157.80
2023-01-27,157.10
2023-01-28,156.55
2023-01-29,156.90
2023-01-30,157.25
2023-01-31,157.70
2023-02-01,158.10
2023-02-02,158.55
2023-02-03,159.00
2023-02-04,159.40
2023-02-05,160.10
2023-02-06,160.50
2023-02-07,160.80
2023-02-08,161.10
2023-02-09,161.55
2023-02-10,161.90
2023-02-11,162.30
2023-02-12,162.70
2023-02-13,163.00
2023-02-14,163.30
2023-02-15,163.80
2023-02-16,164.00
2023-02-17,164.30
2023-02-18,164.50
2023-02-19,164.75
2023-02-20,165.10
2023-02-21,165.40
2023-02-22,165.80
2023-02-23,166.10
2023-02-24,166.40
2023-02-25,166.80
2023-02-26,167.10
2023-02-27,167.50
2023-02-28,167.80
2023-03-01,168.10
2023-03-02,168.50
2023-03-03,168.90
2023-03-04,169.20
2023-03-05,169.50
2023-03-06,169.90
2023-03-07,170.20
2023-03-08,170.60
2023-03-09,171.00
2023-03-10,171.40
2023-03-11,171.80
2023-03-12,172.10
2023-03-13,172.50
2023-03-14,172.90
2023-03-15,173.20
2023-03-16,173.60
2023-03-17,174.00
2023-03-18,174.30
2023-03-19,174.70
2023-03-20,175.10
